Micro Pollutant,MP Category,Initial Concentration of MP (mg/L),Compound MW (g/mol),Compound Charge,Log D (pH=6.5-7),Log Kow,pKa,Stokes Radius/Compound size ,Initial FS pH,Type of MB,FO membrane description,MB Contact Angle (°),MB Zeta Potential,Draw Solution,DS MW (g mol-1),DS Concentration (M),Operating Time (h),Cross Flow Velocity (cm/s),"Water Flux, Jw (LMH)","Reverse Salt Flux, Js (gMH)",Temperature (⁰C),Removal Rate (%),Reference,Reference ID,Additional references,ID number,,,,,,,,,,,,,,,,,,
17-alpha-Ethinyl estradiol,Hormones,1.48E+00,296.4,0,3.98,3.9,10.33,0.55,7,HTI CTA FO,Cellulose triacetate-based flat-shee FO membrane,62,-6,NaCl,58.44,1,96,9.8,8.8,4,21,,(Heo et al. 2013),4,,43,,,,,,,,,,,,,,,,,,
Phenol,Organic Compounds,4.71E-01,94.11,0,1.54,1.67,10.2,0.44,7,HTI CTA FO,Cellulose triacetate-based flat-shee FO membrane (active layer facing FS),62,-6,NaCl,58.44,1,96,58.8,7.5,3,21,22,(Heo et al. 2013),4,,44,,,,,,,,,,,,,,,,,,
4-Chlorophenol,Detergent,6.43E-01,128.6,0,2.42,2.27,8.96,0.45,7,HTI CTA FO,Cellulose triacetate-based flat-shee FO membrane,62,-6,NaCl,58.44,1,96,58.8,7.5,3,21,38.3,(Heo et al. 2013),4,,45,,,,,,,,,,,,,,,,,,
Atrazine,Pesticide,1.08E+00,215.7,0,2.64,2.2,3.2,0.35,7,HTI CTA FO,Cellulose triacetate-based flat-shee FO membrane,62,-6,NaCl,58.44,1,96,58.8,7.5,3,21,48.5,(Heo et al. 2013),4,,46,,,,,,,,,,,,,,,,,,
Carbamazepine,Pharmaceutical,1.18E+00,236.3,0,1.89,2.77,13.94,0.37,7,HTI CTA FO,Cellulose triacetate-based flat-shee FO membrane,62,-6,NaCl,58.44,1,96,58.8,7.5,3,21,82.5,(Heo et al. 2013),4,,47,,,,,,,,,,,,,,,,,,
Sulfamethoxazole,Pharmaceutical,1.27E+00,253.3,-1,-0.22,0.79,1.39,0.43,7,HTI CTA FO,Cellulose triacetate-based flat-shee FO membrane,62,-6,NaCl,58.44,1,96,58.8,7.5,3,21,89.6,(Heo et al. 2013),4,,48,,,,,,,,,,,,,,,,,,
17-alpha-Ethinyl estradiol,Hormones,1.48E+00,296.4,0,3.98,3.9,10.33,0.55,7,HTI CTA FO,Cellulose triacetate-based flat-shee FO membrane,62,-6,NaCl,58.44,1,96,58.8,7.5,3,21,NaN,(Heo et al. 2013),4,,49,,,,,,,,,,,,,,,,,,
Salicylic Acid,Personal care product,7.50E-04,138.12,-1,-1.13,2.26,3.01,0.53,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,25,9,11.01,8.5,22.5,46.8,(Alturki et al. 2013),5,,50,,,,,,,,,,,,,,,,,,
Paracetamol,Pharmaceutical,7.50E-04,151.16,0,0.47,0.47,9.86,0.36,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,25,9,11.01,8.5,22.5,29.9,(Alturki et al. 2013),5,,51,,,,,,,,,,,,,,,,,,
Propylparaben,Pharmaceutical,7.50E-04,180.2,0,2.88,2.9,8.23,0.45,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,25,9,11.01,8.5,22.5,44.9,(Alturki et al. 2013),5,,52,,,,,,,,,,,,,,,,,,
Caffeine,Stimulant,7.50E-04,194.19,0,-0.63,-0.63,0.52,0.34,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,25,9,11.01,8.5,22.5,79.1,(Alturki et al. 2013),5,,53,,,,,,,,,,,,,,,,,,
Ibuprofen,Pharmaceutical,7.50E-04,206.28,-1,0.94,3.5,4.41,0.44,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,25,9,11.01,8.5,22.5,75,(Alturki et al. 2013),5,,54,,,,,,,,,,,,,,,,,,
Primidone,Pharmaceutical,7.50E-04,218.25,0,0.83,0.83,12.26,0.46,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,25,9,11.01,8.5,22.5,94.6,(Alturki et al. 2013),5,,55,,,,,,,,,,,,,,,,,,
Meprobamate,Pharmaceutical,7.50E-04,218.25,0,-1.34,0.7,13.09,0.41,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,25,9,11.01,8.5,22.5,92.2,(Alturki et al. 2013),5,,56,,,,,,,,,,,,,,,,,,
Naproxen,Pharmaceutical,7.50E-04,230.26,-1,0.34,2.88,4.84,0.43,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,25,9,11.01,8.5,22.5,77.8,(Alturki et al. 2013),5,,57,,,,,,,,,,,,,,,,,,
Gemfibrozil,Pharmaceutical,7.50E-04,250.33,-1,2.3,4.3,4.75,0.48,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,25,9,11.01,8.5,22.5,71,(Alturki et al. 2013),5,,58,,,,,,,,,,,,,,,,,,
Dilantin,Pharmaceutical,7.50E-04,252.27,0,1.42,1.42,8.28,0.55,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,25,9,11.01,8.5,22.5,94.5,(Alturki et al. 2013),5,,59,,,,,,,,,,,,,,,,,,
Triamterene,Pharmaceutical,7.50E-04,253.26,-1,1.03,1.16,6.28,0.49,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,25,9,11.01,8.5,22.5,92.6,(Alturki et al. 2013),5,,60,,,,,,,,,,,,,,,,,,
Ketoprofen,Pharmaceutical,7.50E-04,254.28,-1,0.19,2.91,4.23,0.46,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,25,9,11.01,8.5,22.5,89,(Alturki et al. 2013),5,,61,,,,,,,,,,,,,,,,,,
Atenolol,b-Blockers,7.50E-04,266.34,1,-2.67,0.33,9.43,0.41,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,25,9,11.01,8.5,22.5,98.8,(Alturki et al. 2013),5,,62,,,,,,,,,,,,,,,,,,
Amitriptyline,Pharmaceutical,7.50E-04,277.4,1,1.57,4.41,9.18,0.51,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,25,9,11.01,8.5,22.5,99,(Alturki et al. 2013),5,,63,,,,,,,,,,,,,,,,,,
Triclosan,Detergent,7.50E-04,289.54,0,4.93,5.17,7.8,0.39,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,25,9,11.01,8.5,22.5,89,(Alturki et al. 2013),5,,64,,,,,,,,,,,,,,,,,,
Trimethoprim,Pharmaceutical,7.50E-04,290.32,1,0.26,0.59,7.04,0.39,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,25,9,11.01,8.5,22.5,98.8,(Alturki et al. 2013),5,,65,,,,,,,,,,,,,,,,,,
Diclofenac,Pharmaceutical,7.50E-04,296.25,-1,1.77,4.55,4.18,0.45,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,25,9,11.01,8.5,22.5,90.2,(Alturki et al. 2013),5,,66,,,,,,,,,,,,,,,,,,
Fluoxetine,Pharmaceutical,7.50E-04,309.33,1,1.15,3.93,10.05,0.53,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,25,9,11.01,8.5,22.5,97,(Alturki et al. 2013),5,,67,,,,,,,,,,,,,,,,,,
Triclocarban,Herbicide,7.50E-04,315.58,0,6.07,6.07,12.77,0.5,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,25,9,11.01,8.5,22.5,98,(Alturki et al. 2013),5,,68,,,,,,,,,,,,,,,,,,
Clozapine,Pharmaceutical,7.50E-04,326.82,1,2.17,3.94,7.33,0.61,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,25,9,11.01,8.5,22.5,97.5,(Alturki et al. 2013),5,,69,,,,,,,,,,,,,,,,,,
Omeprazole,Pharmaceutical,7.50E-04,345.42,0,2.35,2.36,8.78,0.57,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,25,9,11.01,8.5,22.5,96.4,(Alturki et al. 2013),5,,70,,,,,,,,,,,,,,,,,,
Hydroxyzine,Pharmaceutical,7.50E-04,374.9,1,2.15,2.32,14.41,0.45,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,25,9,11.01,8.5,22.5,97,(Alturki et al. 2013),5,,71,,,,,,,,,,,,,,,,,,
Risperidone,Pharmaceutical,7.50E-04,410.48,0,1.53,2.68,8.07,0.58,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,25,9,11.01,8.5,22.5,99.4,(Alturki et al. 2013),5,,72,,,,,,,,,,,,,,,,,,
Simvastatin,Pharmaceutical,7.50E-04,418.57,0,4.72,4.72,13.49,0.57,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,25,9,11.01,8.5,22.5,98.8,(Alturki et al. 2013),5,,73,,,,,,,,,,,,,,,,,,
Simvastatin hydroxy acid,Pharmaceutical,7.50E-04,436.58,-1,1.79,4.53,4.31,0.5,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,25,9,11.01,8.5,22.5,98.8,(Alturki et al. 2013),5,,74,,,,,,,,,,,,,,,,,,
Verapamil,Pharmaceutical,7.50E-04,454.6,0,2.5,4.02,8.97,0.54,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,25,9,11.01,8.5,22.5,99.4,(Alturki et al. 2013),5,,75,,,,,,,,,,,,,,,,,,
DEET,Pesticide,7.50E-04,191.27,0,2.42,2.42,-1.37,0.33,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,25,9,11.01,8.5,22.5,68.1,(Alturki et al. 2013),5,,76,,,,,,,,,,,,,,,,,,
Atrazine,Pesticide,7.50E-04,215.68,0,2.64,2.64,2.27,0.4,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,25,9,11.01,8.5,22.5,64.8,(Alturki et al. 2013),5,,77,,,,,,,,,,,,,,,,,,
Linuron,Pesticide,7.50E-04,249.09,0,3.12,3.12,12.13,0.39,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,25,9,11.01,8.5,22.5,56,(Alturki et al. 2013),5,,78,,,,,,,,,,,,,,,,,,
4-tert-Octylphenol,Detergent,7.50E-04,206.32,0,5.18,5.18,10.15,0.37,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,25,9,11.01,8.5,22.5,78.5,(Alturki et al. 2013),5,,79,,,,,,,,,,,,,,,,,,
4-Nonylphenol,Endocrine disrupting chemicals,7.50E-04,220.35,0,6.14,6.14,10.15,0.41,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,25,9,11.01,8.5,22.5,98.2,(Alturki et al. 2013),5,,80,,,,,,,,,,,,,,,,,,
Estrone,Hormones,7.50E-04,270.37,0,3.62,3.62,10.25,0.34,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,25,9,11.01,8.5,22.5,94,(Alturki et al. 2013),5,,81,,,,,,,,,,,,,,,,,,
17beta-estradiol,Hormones,7.50E-04,272.38,0,4.15,4.14,10.27,0.33,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,25,9,11.01,8.5,22.5,96,(Alturki et al. 2013),5,,82,,,,,,,,,,,,,,,,,,
17alpha-Estradiol,Hormones,7.50E-04,272.38,0,4.15,4.14,10.27,0.33,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,25,9,11.01,8.5,22.5,95,(Alturki et al. 2013),5,,83,,,,,,,,,,,,,,,,,,
Androstenedione,Hormones,7.50E-04,286.41,0,2.72,2.72,,0.39,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,25,9,11.01,8.5,22.5,94,(Alturki et al. 2013),5,,84,,,,,,,,,,,,,,,,,,
Estriol,Hormones,7.50E-04,288.38,0,2.53,2.53,10.25,0.32,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,25,9,11.01,8.5,22.5,87,(Alturki et al. 2013),5,,85,,,,,,,,,,,,,,,,,,
Testosterone,Hormones,7.50E-04,288.42,0,3.18,3.18,15.06,0.44,6,HTI CTA FO,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,25,9,11.01,8.5,22.5,92,(Alturki et al. 2013),5,,86,,,,,,,,,,,,,,,,,,
